"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_sumChampionHostFindGen","co_sumChampionParasiteFindGen","oe_generations","oe_sumChampionHostFindGen"
"","","","","","29.0","","","763.0",""
"","","","","","17.0","","","413.0",""
"","","","","","18.0","","","370.0",""
"","","","","","16.0","","","419.0",""
"","","","","","12.0","","","385.0",""
"","","","","","11.0","","","74.0",""
"","","","","","39.0","","","67.0",""
"","","","","","39.0","","","627.0",""
"","","","","","37.0","","","526.0",""
"","","","","","38.0","","","493.0",""
"","","","","","40.0","","","556.0",""
"","","","","","42.0","","","542.0",""
"","","","","","42.0","","","606.0",""
"","","","","","45.0","","","580.0",""
"","","","","","39.0","","","627.0",""
"","","","","","37.0","","","625.0",""
"","","","","","46.0","","","591.0",""
"","","","","","43.0","","","589.0",""
"","","","","","49.0","","","523.0",""
"","","","","","53.0","","","624.0",""
"","","","","","52.0","","","697.0",""
"","","","","","54.0","","","663.0",""
"","","","","","57.0","","","592.0",""
"","","","","","62.0","","","639.0",""
"","","","","","","","","739.0",""
"1","1247398612616","43","True","False","19.0","596.0","596.0","96.0","1408.0"
"","","","","","23.0","","","48.0",""
"","","","","","26.0","","","59.0",""
"","","","","","24.0","","","721.0",""
"","","","","","18.0","","","529.0",""
"","","","","","16.0","","","500.0",""
"","","","","","16.0","","","493.0",""
"","","","","","14.0","","","450.0",""
"","","","","","16.0","","","424.0",""
"","","","","","38.0","","","63.0",""
"","","","","","38.0","","","411.0",""
"","","","","","39.0","","","433.0",""
"","","","","","39.0","","","444.0",""
"","","","","","38.0","","","537.0",""
"","","","","","13.0","","","386.0",""
"","","","","","32.0","","","379.0",""
"","","","","","36.0","","","379.0",""
"","","","","","39.0","","","395.0",""
"","","","","","39.0","","","461.0",""
"","","","","","35.0","","","401.0",""
"","","","","","39.0","","","393.0",""
"","","","","","","","","453.0",""
"1","411707168714","53","False","True","36.0","927.0","927.0","100.0","1169.0"
"","","","","","27.0","","","56.0",""
"","","","","","34.0","","","84.0",""
"","","","","","23.0","","","555.0",""
"","","","","","20.0","","","454.0",""
"","","","","","15.0","","","386.0",""
"","","","","","11.0","","","31.0",""
"","","","","","31.0","","","300.0",""
"","","","","","34.0","","","336.0",""
"","","","","","35.0","","","370.0",""
"","","","","","34.0","","","366.0",""
"","","","","","35.0","","","362.0",""
"","","","","","34.0","","","436.0",""
"","","","","","35.0","","","377.0",""
"","","","","","37.0","","","503.0",""
"","","","","","36.0","","","424.0",""
"","","","","","39.0","","","395.0",""
"","","","","","40.0","","","534.0",""
"","","","","","40.0","","","557.0",""
"","","","","","42.0","","","562.0",""
"","","","","","44.0","","","509.0",""
"","","","","","45.0","","","479.0",""
"","","","","","45.0","","","438.0",""
"","","","","","48.0","","","460.0",""
"","","","","","49.0","","","588.0",""
"","","","","","58.0","","","621.0",""
"","","","","","","","","571.0",""
"1","353539675037","71","True","False","23.0","1318.0","1318.0","97.0","2624.0"
"","","","","","25.0","","","50.0",""
"","","","","","33.0","","","108.0",""
"","","","","","19.0","","","452.0",""
"","","","","","37.0","","","37.0",""
"","","","","","38.0","","","443.0",""
"","","","","","30.0","","","441.0",""
"","","","","","40.0","","","580.0",""
"","","","","","41.0","","","535.0",""
"","","","","","41.0","","","575.0",""
"","","","","","41.0","","","665.0",""
"","","","","","41.0","","","626.0",""
"","","","","","40.0","","","558.0",""
"","","","","","40.0","","","548.0",""
"","","","","","37.0","","","476.0",""
"","","","","","42.0","","","474.0",""
"","","","","","42.0","","","549.0",""
"","","","","","40.0","","","501.0",""
